country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Afghanistan,2021.0,,,,,,AFG,4674518.0,3753224.0,,11.37,9.13,70761.0,,,,,,
Afghanistan,2022.0,,,,,,AFG,12449870.0,10754839.0,,30.27,26.15,190328.0,,,,,,
Afghanistan,2023.0,,,,,,AFG,22964750.0,18370386.0,2729940.0,55.84,44.67,218908.0,,,,,,
Africa,2021.0,,,,,,OWID_AFR,303508220.0,124750456.0,892142.0,21.27,8.74,2451504.0,,,,,,
Africa,2022.0,,,,,,OWID_AFR,734312749.0,391961151.0,62807705.0,51.47,27.47,4180515.0,,,,,,
Africa,2023.0,,,,,,OWID_AFR,863237900.0,462411423.0,97944965.0,60.5,32.41,1095257.0,,,,,,
Albania,2021.0,,,,,,ALB,2316606.0,1031132.0,143988.0,81.5,36.28,17565.0,,,,,,
Albania,2022.0,,,,,,ALB,3025728.0,1270016.0,377057.0,106.45,44.68,16639.0,,,,,,
Albania,2023.0,,,,,,ALB,3088966.0,1279333.0,402371.0,108.68,45.01,663.0,,,,,,
Algeria,2013.0,1.0,MERS,2.0,1.0,50.0,,,,,,,,,,,,,
Algeria,2021.0,,,,,,DZA,12545356.0,5609040.0,25381.0,27.94,12.49,256927.0,,,,,,
Algeria,2022.0,,,,,,DZA,15267442.0,6481186.0,575651.0,34.0,14.43,204830.0,,,,,,
Americas (multiple),2013.0,1.0,Chikungunya,1700000.0,300.0,,,,,,,,,,,,,,
Andorra,2021.0,,,,,,AND,117246.0,51392.0,8769.0,146.85,64.37,1762.0,,,,,,
Andorra,2022.0,,,,,,AND,156242.0,53489.0,43020.0,195.69,66.99,1266.0,,,,,,
Andorra,2023.0,,,,,,AND,157072.0,53501.0,43071.0,196.73,67.01,12.0,,,,,,
Angola,2004.0,1.0,Marburg Virus Disease,252.0,227.0,90.0,,,,,,,,,,,,,
Angola,2006.0,1.0,Cholera,67000.0,2700.0,4.0,,,,,,,,,,,,,
Angola,2015.0,1.0,Yellow Fever,4306.0,376.0,8.7,,,,,,,,,,,,,
Angola,2021.0,,,,,,AGO,11615144.0,3929727.0,,32.64,11.04,183173.0,,,,,,
Angola,2022.0,,,,,,AGO,23701049.0,8253873.0,1457126.0,66.6,23.19,144266.0,,,,,,
Angola,2023.0,,,,,,AGO,27819132.0,9609080.0,3067091.0,78.17,27.0,46854.0,,,,,,
Anguilla,2021.0,,,,,,AIA,20284.0,9223.0,982.0,127.76,58.09,331.0,,,,,,
Anguilla,2022.0,,,,,,AIA,24441.0,10373.0,2998.0,153.94,65.33,38.0,,,,,,
Anguilla,2023.0,,,,,,AIA,24604.0,10380.0,3309.0,154.97,65.38,5.0,,,,,,
Antigua and Barbuda,2021.0,,,,,,ATG,121146.0,58863.0,,129.19,62.77,1278.0,,,,,,
Antigua and Barbuda,2022.0,,,,,,ATG,136512.0,62384.0,9838.0,145.58,66.53,201.0,,,,,,
Argentina,2009.0,1.0,H1N1 Influenza Pandemic,11458.0,626.0,5.46,,,,,,,,,,,,,
Argentina,2020.0,1.0,COVID-19,1614000.0,43200.0,2.7,ARG,43403.0,7.0,1.0,0.1,0.0,20102.0,,,,,,
Argentina,2021.0,,,,,,ARG,78305677.0,30780137.0,6183044.0,172.06,67.63,391365.0,,,,,,
Argentina,2022.0,,,,,,ARG,112937078.0,34804669.0,33885003.0,248.16,76.48,453344.0,,,,,,
Argentina,2023.0,,,,,,ARG,116717853.0,34900613.0,37459362.0,256.46,76.69,77963.0,,,,,,
Argentina,2024.0,,,,,,ARG,116978521.0,34900613.0,37713094.0,257.04,76.69,16962.0,,,,,,
Armenia,2021.0,,,,,,ARM,1626738.0,692082.0,628.0,58.51,24.89,17910.0,,,,,,
Armenia,2022.0,,,,,,ARM,2150112.0,985807.0,40725.0,77.33,35.45,10318.0,,,,,,
Armenia,2023.0,,,,,,ARM,2256919.0,1030758.0,81354.0,81.17,37.07,3331.0,,,,,,
